raw_id,sentiment_label,sentiment_confidence,mentions_candidate_probability,intensity_score,lga_relevance_label,lga_confidence,opposition_signal_probability,language_label,language_confidence,routing_decision,schema_version,model
gdelt-612d0bb43c3b,neutral,0.58,0.27,calm,unclear,0.79,0.37,english,0.97,human_review,v3,jev-1.13.0
gdelt-27fa76808156,not_about_candidate,0.32,0.9,mild,Shira,1.0,0.07,english,1.0,human_review,v3,jev-1.13.0
gdelt-39277711eac6,positive,0.7,0.93,moderate,unclear,0.97,0.04,english,1.0,human_review,v3,jev-1.13.0
gdelt-2fc15a5ad36d,positive,0.9,0.99,mild,unclear,0.94,0.04,english,1.0,auto,v3,jev-1.13.0
gdelt-79540fbdb50d,negative,0.64,0.93,mild,Katagum,1.0,0.29,english,0.99,human_review,v3,jev-1.13.0
gdelt-4937c9a5d24c,positive,0.21,0.9,calm,Bauchi,0.88,0.05,english,1.0,human_review,v3,jev-1.13.0
gdelt-8044f3bcf839,neutral,0.33,0.95,mild,unclear,0.98,0.11,english,1.0,human_review,v3,jev-1.13.0
gdelt-81f52083473b,positive,0.94,0.96,moderate,unclear,1.0,0.23,english,1.0,auto,v3,jev-1.13.0
gdelt-d11510a00bb1,not_about_candidate,0.87,0.94,mild,unclear,1.0,0.52,english,1.0,auto,v3,jev-1.13.0
gdelt-03fd3de4bf6b,not_about_candidate,0.81,0.93,moderate,unclear,1.0,0.08,english,1.0,auto,v3,jev-1.13.0
gdelt-e516bf6f0be0,not_about_candidate,0.8,0.96,mild,unclear,1.0,0.07,english,1.0,auto,v3,jev-1.13.0
gdelt-d8043738aaef,not_about_candidate,0.71,0.85,strong,Bauchi,0.29,0.05,english,1.0,human_review,v3,jev-1.13.0
gdelt-51bb4e71becc,not_about_candidate,0.26,0.9,calm,unclear,1.0,0.26,english,1.0,human_review,v3,jev-1.13.0
gdelt-aff0680ecc12,neutral,0.68,0.96,calm,unclear,1.0,0.23,english,0.99,human_review,v3,jev-1.13.0
gdelt-a8758a18c25f,not_about_candidate,0.38,0.95,calm,unclear,1.0,0.5,english,0.99,human_review,v3,jev-1.13.0
gdelt-28bd98b81b3c,not_about_candidate,0.27,0.96,moderate,unclear,1.0,0.21,english,0.96,human_review,v3,jev-1.13.0
gdelt-f40793207bd4,neutral,0.9,0.95,calm,unclear,1.0,0.25,english,0.99,auto,v3,jev-1.13.0
gdelt-0f106de36845,not_about_candidate,0.6,0.91,calm,unclear,1.0,0.31,english,0.95,human_review,v3,jev-1.13.0
gdelt-b9d0435b01c9,not_about_candidate,0.92,0.86,moderate,unclear,1.0,0.26,english,1.0,auto,v3,jev-1.13.0
gdelt-04f3221824fa,not_about_candidate,0.89,0.08,mild,unclear,0.74,0.26,english,0.33,human_review,v3,jev-1.13.0
gdelt-11acab281e76,not_about_candidate,0.9,0.03,mild,Bauchi,0.48,0.27,english,0.97,human_review,v3,jev-1.13.0
gdelt-c75ed0131180,not_about_candidate,0.53,0.91,mild,unclear,1.0,0.08,english,1.0,human_review,v3,jev-1.13.0
gdelt-e5ae402bd347,not_about_candidate,0.96,0.03,mild,unclear,0.64,0.12,english,1.0,human_review,v3,jev-1.13.0
gdelt-1a730f734d6d,not_about_candidate,0.72,0.12,moderate,unclear,0.78,0.17,english,1.0,human_review,v3,jev-1.13.0
gdelt-9df84a364358,not_about_candidate,0.92,0.11,moderate,unclear,0.9,0.17,english,1.0,auto,v3,jev-1.13.0
gdelt-0f1f63f0c635,not_about_candidate,0.7,0.87,calm,unclear,1.0,0.21,english,1.0,human_review,v3,jev-1.13.0
gdelt-ff382b531da0,not_about_candidate,0.92,0.07,calm,unclear,0.87,0.21,english,1.0,auto,v3,jev-1.13.0
gdelt-46ece43f0d5f,not_about_candidate,0.81,0.85,calm,unclear,1.0,0.11,english,1.0,auto,v3,jev-1.13.0
gdelt-46f336f7abad,neutral,0.27,0.91,calm,unclear,1.0,0.22,english,0.99,human_review,v3,jev-1.13.0
gdelt-909466663bfa,neutral,0.31,0.13,calm,unclear,0.89,0.27,english,1.0,human_review,v3,jev-1.13.0
gdelt-9b4299aa88fd,not_about_candidate,0.99,0.03,calm,unclear,0.87,0.24,english,0.96,auto,v3,jev-1.13.0
gdelt-7dd5ee5db95d,not_about_candidate,0.35,0.9,calm,unclear,1.0,0.61,english,0.9,human_review,v3,jev-1.13.0
gdelt-e63da60ba960,positive,0.68,0.04,mild,unclear,0.85,0.8,english,0.99,human_review,v3,jev-1.13.0
gdelt-97e9b060e503,not_about_candidate,0.77,0.07,mild,unclear,0.93,0.32,english,0.99,human_review,v3,jev-1.13.0
gdelt-035c21ca8333,not_about_candidate,0.9,0.05,calm,Bauchi,0.45,0.35,mixed,0.31,human_review,v3,jev-1.13.0
gdelt-22fb55cb9e98,positive,0.93,0.97,mild,unclear,1.0,0.45,english,1.0,auto,v3,jev-1.13.0
gdelt-3e72b7cd0354,neutral,0.92,0.93,calm,unclear,0.95,0.21,english,0.98,auto,v3,jev-1.13.0
gdelt-bb26604fdd1a,not_about_candidate,0.54,0.92,calm,unclear,1.0,0.28,english,0.96,human_review,v3,jev-1.13.0
gdelt-1d43fed5a326,neutral,0.43,0.95,calm,unclear,1.0,0.29,english,1.0,human_review,v3,jev-1.13.0
gdelt-21fb1578e1e3,not_about_candidate,0.83,0.89,calm,unclear,1.0,0.12,english,1.0,auto,v3,jev-1.13.0
gdelt-119dabebb362,not_about_candidate,0.96,0.09,mild,unclear,0.88,0.24,english,1.0,auto,v3,jev-1.13.0
gdelt-6aa5ad503994,not_about_candidate,0.94,0.06,calm,unclear,0.94,0.2,english,0.99,auto,v3,jev-1.13.0
gdelt-d97cc0802b19,neutral,0.31,0.93,calm,unclear,0.96,0.36,english,0.77,human_review,v3,jev-1.13.0
gdelt-4e3bd0702ffc,not_about_candidate,1.0,0.05,mild,unclear,0.77,0.1,english,1.0,human_review,v3,jev-1.13.0
gdelt-612330e2f579,not_about_candidate,1.0,0.03,calm,unclear,0.96,0.08,english,1.0,auto,v3,jev-1.13.0
gdelt-a4df67ccddca,not_about_candidate,1.0,0.03,calm,unclear,0.95,0.07,english,1.0,auto,v3,jev-1.13.0
gdelt-437c7ada437e,neutral,0.46,0.95,calm,unclear,0.99,0.28,english,0.98,human_review,v3,jev-1.13.0
gdelt-3b97bc83d6be,not_about_candidate,0.51,0.04,calm,unclear,0.76,0.75,english,0.95,human_review,v3,jev-1.13.0
gdelt-a6fb3bd1830b,not_about_candidate,0.95,0.14,calm,unclear,0.82,0.33,english,0.99,auto,v3,jev-1.13.0
gdelt-2605c7e9a292,not_about_candidate,0.99,0.75,calm,unclear,1.0,0.03,english,1.0,auto,v3,jev-1.13.0
gdelt-600ae81d0e7e,not_about_candidate,0.72,0.88,mild,unclear,1.0,0.34,english,0.99,human_review,v3,jev-1.13.0
gdelt-7664b21ec6a7,not_about_candidate,1.0,0.04,calm,unclear,0.95,0.06,english,0.99,auto,v3,jev-1.13.0
gdelt-19b9d626e961,not_about_candidate,1.0,0.03,calm,unclear,0.88,0.08,english,0.99,auto,v3,jev-1.13.0
gdelt-5d241ee7a463,not_about_candidate,0.28,0.96,strong,unclear,1.0,0.23,english,1.0,human_review,v3,jev-1.13.0
gdelt-a5ba496feb51,not_about_candidate,0.9,0.09,calm,unclear,0.57,0.25,english,0.99,human_review,v3,jev-1.13.0
gdelt-7a356cc0b8cd,neutral,0.29,0.14,calm,unclear,0.61,0.34,english,0.82,human_review,v3,jev-1.13.0
gdelt-70cbe73347f9,neutral,0.46,0.1,calm,unclear,0.47,0.34,english,0.99,human_review,v3,jev-1.13.0
gdelt-3e8ad237e6d8,not_about_candidate,0.18,0.92,mild,unclear,1.0,0.49,english,0.99,human_review,v3,jev-1.13.0
gdelt-986821fd031d,neutral,0.78,0.91,calm,unclear,0.92,0.1,english,0.96,human_review,v3,jev-1.13.0
gdelt-53c0bf73d26f,negative,0.4,0.94,calm,unclear,0.96,0.41,english,0.83,human_review,v3,jev-1.13.0
gdelt-55fe8fd3fd97,negative,0.23,0.94,mild,unclear,1.0,0.35,english,0.98,human_review,v3,jev-1.13.0
gdelt-8b3df8b57a6d,positive,0.7,0.96,calm,unclear,0.98,0.28,english,0.63,human_review,v3,jev-1.13.0
gdelt-e06babf0958e,not_about_candidate,0.93,0.04,calm,unclear,0.87,0.23,english,1.0,auto,v3,jev-1.13.0
gdelt-90627ebef384,not_about_candidate,0.72,0.08,calm,unclear,0.79,0.71,english,0.93,human_review,v3,jev-1.13.0
gdelt-cf839f212435,not_about_candidate,0.95,0.12,calm,unclear,0.85,0.13,english,1.0,auto,v3,jev-1.13.0
gdelt-5b7d144aca66,not_about_candidate,1.0,0.03,calm,unclear,0.88,0.08,english,1.0,auto,v3,jev-1.13.0
gdelt-137a5ca0de86,not_about_candidate,0.99,0.07,calm,unclear,0.96,0.1,english,1.0,auto,v3,jev-1.13.0
gdelt-ab7b99b479e1,not_about_candidate,0.24,0.94,mild,unclear,1.0,0.19,english,1.0,human_review,v3,jev-1.13.0
gdelt-d5f5616e8dd0,not_about_candidate,1.0,0.02,calm,Bauchi,0.47,0.07,english,1.0,human_review,v3,jev-1.13.0
gdelt-43de069aa6ef,not_about_candidate,0.99,0.08,calm,unclear,0.96,0.16,english,0.98,auto,v3,jev-1.13.0
gdelt-7a52e6f83c89,neutral,0.56,0.89,calm,unclear,0.99,0.39,english,0.98,human_review,v3,jev-1.13.0
gdelt-0309870bef36,not_about_candidate,1.0,0.04,calm,unclear,0.89,0.08,english,1.0,auto,v3,jev-1.13.0
gdelt-b3f79c872177,positive,0.43,0.89,calm,unclear,0.99,0.63,english,0.99,human_review,v3,jev-1.13.0
gdelt-4ca488f7f4e8,positive,0.22,0.93,calm,unclear,0.98,0.37,english,0.87,human_review,v3,jev-1.13.0
gdelt-e11195b149b2,not_about_candidate,0.98,0.08,calm,Bauchi,0.54,0.13,english,1.0,human_review,v3,jev-1.13.0
gdelt-b2dd72902eee,not_about_candidate,1.0,0.03,calm,unclear,0.95,0.07,english,1.0,auto,v3,jev-1.13.0
gdelt-cd453abb913e,not_about_candidate,0.98,0.14,calm,unclear,0.95,0.17,english,1.0,auto,v3,jev-1.13.0
gdelt-4e535370c4f2,not_about_candidate,1.0,0.02,calm,unclear,0.85,0.07,english,1.0,auto,v3,jev-1.13.0
gdelt-8f578f0cf080,not_about_candidate,0.35,0.95,calm,unclear,1.0,0.17,english,0.97,human_review,v3,jev-1.13.0
gdelt-d38c5d504310,not_about_candidate,0.99,0.04,calm,Ningi,0.93,0.19,english,0.99,auto,v3,jev-1.13.0
gdelt-22dac85aa39a,not_about_candidate,0.99,0.03,calm,unclear,0.94,0.2,english,0.95,auto,v3,jev-1.13.0
gdelt-8a43a3db228f,not_about_candidate,0.84,0.09,calm,Bauchi,0.71,0.28,english,0.99,human_review,v3,jev-1.13.0
gdelt-9cf8140bc379,not_about_candidate,0.96,0.03,calm,unclear,0.75,0.08,english,1.0,human_review,v3,jev-1.13.0
gdelt-907525981e26,not_about_candidate,0.97,0.07,calm,unclear,0.94,0.15,english,0.99,auto,v3,jev-1.13.0
gdelt-5f093d833769,not_about_candidate,0.52,0.07,moderate,unclear,0.74,0.57,english,0.99,human_review,v3,jev-1.13.0
gdelt-8bfda5c745de,not_about_candidate,0.73,0.06,calm,Bauchi,0.65,0.15,english,0.99,human_review,v3,jev-1.13.0
gdelt-331f9d0e0710,not_about_candidate,1.0,0.03,calm,unclear,0.93,0.07,english,1.0,auto,v3,jev-1.13.0
gdelt-4b05176359e6,not_about_candidate,0.27,0.93,calm,unclear,1.0,0.38,english,0.97,human_review,v3,jev-1.13.0
gdelt-8e456ff3d8f0,negative,0.56,0.94,moderate,unclear,0.93,0.41,english,0.94,human_review,v3,jev-1.13.0
gdelt-6e44ac30bc58,neutral,0.95,0.96,calm,unclear,0.99,0.26,english,0.95,auto,v3,jev-1.13.0
gdelt-b57bbfcf87f3,not_about_candidate,0.87,0.05,calm,unclear,0.79,0.52,english,1.0,human_review,v3,jev-1.13.0
gdelt-52bc12e7c24a,positive,0.83,0.95,calm,unclear,0.99,0.43,english,0.99,auto,v3,jev-1.13.0
gdelt-f2be62d002f5,not_about_candidate,0.97,0.04,calm,unclear,0.96,0.11,english,1.0,auto,v3,jev-1.13.0
gdelt-61f62d59583d,not_about_candidate,0.63,0.08,calm,unclear,0.93,0.08,english,0.99,human_review,v3,jev-1.13.0
gdelt-451d9dee1074,not_about_candidate,1.0,0.04,calm,unclear,0.92,0.1,english,1.0,auto,v3,jev-1.13.0
gdelt-efe2ba83fd92,neutral,0.9,0.97,calm,unclear,0.98,0.34,english,0.92,auto,v3,jev-1.13.0
gdelt-5beab7b47899,neutral,0.47,0.91,calm,unclear,0.99,0.2,english,0.92,human_review,v3,jev-1.13.0
gdelt-4901a7c56c09,not_about_candidate,1.0,0.03,calm,unclear,0.62,0.16,english,0.95,human_review,v3,jev-1.13.0
gdelt-33a76c503328,not_about_candidate,0.81,0.04,calm,unclear,0.66,0.73,english,1.0,human_review,v3,jev-1.13.0
gdelt-702ec6f71878,not_about_candidate,0.8,0.82,mild,unclear,1.0,0.07,other,0.98,auto,v3,jev-1.13.0
gdelt-bd00e44302b4,not_about_candidate,1.0,0.02,calm,unclear,0.93,0.05,english,1.0,auto,v3,jev-1.13.0
gdelt-819320116960,not_about_candidate,0.96,0.74,calm,unclear,1.0,0.05,english,1.0,auto,v3,jev-1.13.0
gdelt-7697b80d75d5,not_about_candidate,0.99,0.04,calm,unclear,0.81,0.09,english,0.99,auto,v3,jev-1.13.0
gdelt-2e0aad370c2d,positive,0.8,0.95,moderate,unclear,0.99,0.21,english,0.89,auto,v3,jev-1.13.0
gdelt-f08e4b5d7a7b,not_about_candidate,0.85,0.08,calm,unclear,0.74,0.11,english,1.0,human_review,v3,jev-1.13.0
gdelt-caf6d2ce602b,not_about_candidate,1.0,0.04,calm,unclear,0.9,0.1,english,1.0,auto,v3,jev-1.13.0
gdelt-c54bc42deabb,negative,0.31,0.91,calm,unclear,1.0,0.45,english,0.98,human_review,v3,jev-1.13.0
gdelt-17b9c1476b57,negative,0.17,0.95,mild,unclear,1.0,0.27,english,0.96,human_review,v3,jev-1.13.0
gdelt-42ce965c82e2,not_about_candidate,0.98,0.13,calm,unclear,0.87,0.26,english,0.97,auto,v3,jev-1.13.0
gdelt-7d1249b1e0ca,not_about_candidate,0.99,0.09,calm,unclear,0.73,0.08,english,1.0,human_review,v3,jev-1.13.0
gdelt-c0bd0c1125e1,negative,0.89,0.92,mild,unclear,0.99,0.53,english,0.93,auto,v3,jev-1.13.0
gdelt-38ac689d82ab,not_about_candidate,1.0,0.02,calm,unclear,0.95,0.07,english,0.99,auto,v3,jev-1.13.0
gdelt-64746a479579,neutral,0.43,0.94,calm,unclear,0.94,0.21,english,0.93,human_review,v3,jev-1.13.0
gdelt-c3b16a617748,not_about_candidate,0.87,0.18,calm,unclear,0.59,0.14,english,1.0,human_review,v3,jev-1.13.0
gdelt-0c54ac1f75de,not_about_candidate,0.3,0.15,calm,unclear,0.94,0.14,english,1.0,human_review,v3,jev-1.13.0
gdelt-8a9e97b9a877,not_about_candidate,0.8,0.11,calm,unclear,0.73,0.18,english,1.0,human_review,v3,jev-1.13.0
gdelt-c9a5388d4677,not_about_candidate,0.76,0.88,calm,unclear,1.0,0.11,english,1.0,human_review,v3,jev-1.13.0
gdelt-9db91aedcead,not_about_candidate,0.51,0.74,calm,unclear,0.81,0.08,english,1.0,human_review,v3,jev-1.13.0
gdelt-ffb624347708,not_about_candidate,0.99,0.02,calm,unclear,0.9,0.07,english,1.0,auto,v3,jev-1.13.0
gdelt-ce50e8092de0,not_about_candidate,0.99,0.07,calm,unclear,0.91,0.14,english,1.0,auto,v3,jev-1.13.0
gdelt-8e19eb7ac7c7,not_about_candidate,0.99,0.05,calm,unclear,0.96,0.13,english,0.95,auto,v3,jev-1.13.0
gdelt-1d4448204653,not_about_candidate,0.58,0.05,mild,unclear,0.71,0.83,english,1.0,human_review,v3,jev-1.13.0
gdelt-52a7eec58379,not_about_candidate,0.22,0.95,mild,unclear,0.99,0.55,english,0.99,human_review,v3,jev-1.13.0
gdelt-6bd6967aa19f,not_about_candidate,1.0,0.04,calm,unclear,0.89,0.08,english,1.0,auto,v3,jev-1.13.0
gdelt-eabdef3ab3d0,not_about_candidate,0.99,0.09,mild,unclear,0.84,0.08,english,1.0,auto,v3,jev-1.13.0
gdelt-0234ad8b5422,not_about_candidate,0.99,0.03,calm,unclear,0.75,0.08,english,1.0,human_review,v3,jev-1.13.0
gdelt-02262d8af2e2,not_about_candidate,0.54,0.05,calm,unclear,0.77,0.39,english,0.92,human_review,v3,jev-1.13.0
gdelt-b81bdc7c0977,not_about_candidate,0.69,0.06,calm,unclear,0.7,0.33,english,0.96,human_review,v3,jev-1.13.0
gdelt-8221062a8511,not_about_candidate,0.5,0.08,calm,unclear,0.69,0.32,english,0.99,human_review,v3,jev-1.13.0
gdelt-fd93f71aea28,neutral,0.1,0.94,calm,unclear,0.98,0.26,english,1.0,human_review,v3,jev-1.13.0
gdelt-2ec48be71feb,not_about_candidate,1.0,0.03,calm,unclear,0.89,0.06,english,0.89,auto,v3,jev-1.13.0
gdelt-63cb75675494,not_about_candidate,0.44,0.07,calm,unclear,0.94,0.2,english,0.99,human_review,v3,jev-1.13.0
gdelt-3dab732228dd,neutral,0.58,0.93,calm,unclear,1.0,0.35,english,0.94,human_review,v3,jev-1.13.0
gdelt-12fd8754aff2,not_about_candidate,1.0,0.05,calm,unclear,0.87,0.07,english,1.0,auto,v3,jev-1.13.0
nairaland-39d18e194f0f,not_about_candidate,0.97,0.02,calm,unclear,1.0,0.13,mixed,0.39,auto,v3,jev-1.13.0
nairaland-e7cf9b7af555,not_about_candidate,0.96,0.02,calm,unclear,0.92,0.12,other,0.47,auto,v3,jev-1.13.0
nairaland-6b46bee12cf5,not_about_candidate,0.94,0.02,strong,unclear,1.0,0.39,english,0.43,auto,v3,jev-1.13.0
nairaland-336d19b455b6,not_about_candidate,0.78,0.04,strong,unclear,1.0,0.45,mixed,0.36,human_review,v3,jev-1.13.0
nairaland-773e09107b01,not_about_candidate,0.72,0.02,very_strong,unclear,1.0,0.43,english,0.98,human_review,v3,jev-1.13.0
nairaland-03c8c6e2d209,not_about_candidate,0.79,0.02,very_strong,unclear,1.0,0.47,english,0.98,human_review,v3,jev-1.13.0
nairaland-307a25c88268,not_about_candidate,0.98,0.02,mild,unclear,0.99,0.38,english,0.97,auto,v3,jev-1.13.0
nairaland-1f5fd04b125d,not_about_candidate,0.97,0.02,mild,unclear,1.0,0.04,english,0.86,auto,v3,jev-1.13.0
nairaland-ae1bec04f525,not_about_candidate,0.95,0.02,strong,unclear,0.99,0.42,english,0.93,auto,v3,jev-1.13.0
nairaland-beee8465cf25,negative,0.44,0.05,strong,unclear,1.0,0.27,english,0.95,human_review,v3,jev-1.13.0
nairaland-865886743837,not_about_candidate,0.98,0.02,strong,unclear,0.99,0.41,english,0.96,auto,v3,jev-1.13.0
nairaland-698b7be3130d,not_about_candidate,0.49,0.02,strong,unclear,1.0,0.33,english,1.0,human_review,v3,jev-1.13.0
nairaland-58c8a40c289b,not_about_candidate,0.99,0.02,strong,unclear,0.99,0.5,mixed,0.94,auto,v3,jev-1.13.0
nairaland-765d22abfd1f,not_about_candidate,1.0,0.02,strong,unclear,1.0,0.57,mixed,0.96,auto,v3,jev-1.13.0
nairaland-490698bc9fc2,not_about_candidate,0.7,0.02,strong,unclear,1.0,0.13,mixed,0.72,human_review,v3,jev-1.13.0
nairaland-b073eb497e26,not_about_candidate,0.68,0.04,moderate,unclear,0.97,0.27,english,0.93,human_review,v3,jev-1.13.0
nairaland-944f43d1500a,not_about_candidate,0.67,0.02,strong,unclear,0.99,0.74,english,0.93,human_review,v3,jev-1.13.0
nairaland-65cc5cc3beb4,negative,0.54,0.05,mild,unclear,0.99,0.29,english,0.97,human_review,v3,jev-1.13.0
nairaland-c45188c33c8f,not_about_candidate,0.53,0.02,very_strong,unclear,1.0,0.36,mixed,0.96,human_review,v3,jev-1.13.0
nairaland-61145e4e5ea7,not_about_candidate,0.22,0.05,calm,unclear,0.99,0.27,english,0.94,human_review,v3,jev-1.13.0
nairaland-e48e945c7795,not_about_candidate,1.0,0.01,moderate,unclear,1.0,0.87,english,0.98,auto,v3,jev-1.13.0
nairaland-1a7c1a9d340d,negative,0.88,0.4,moderate,unclear,1.0,0.82,english,0.98,auto,v3,jev-1.13.0
nairaland-1cd0473808f3,not_about_candidate,0.99,0.02,moderate,unclear,1.0,0.66,english,0.65,auto,v3,jev-1.13.0
nairaland-d4c0703a4ae3,negative,0.66,0.2,moderate,unclear,1.0,0.91,english,0.99,human_review,v3,jev-1.13.0
nairaland-ddad8d1685eb,positive,0.82,0.06,moderate,unclear,1.0,0.72,english,0.92,auto,v3,jev-1.13.0
nairaland-20f895d1fc74,not_about_candidate,0.87,0.02,strong,unclear,1.0,0.13,english,0.88,auto,v3,jev-1.13.0
nairaland-74f15ceacbd5,not_about_candidate,0.88,0.02,strong,unclear,0.93,0.52,english,0.88,auto,v3,jev-1.13.0
nairaland-49a24ffc4b0e,negative,0.6,0.03,moderate,unclear,0.87,0.35,english,0.69,human_review,v3,jev-1.13.0
nairaland-43a16a29081e,not_about_candidate,0.99,0.02,strong,unclear,1.0,0.58,english,0.95,auto,v3,jev-1.13.0
nairaland-84dc8a1e4972,not_about_candidate,0.95,0.02,strong,unclear,1.0,0.6,english,0.73,auto,v3,jev-1.13.0
nairaland-38b2e09b3c1d,not_about_candidate,0.99,0.02,strong,unclear,1.0,0.13,english,0.87,auto,v3,jev-1.13.0
nairaland-a476e0a68a92,not_about_candidate,0.62,0.03,strong,unclear,0.99,0.25,english,0.96,human_review,v3,jev-1.13.0
nairaland-611af5bf3ea9,not_about_candidate,0.34,0.04,moderate,unclear,0.95,0.49,english,0.92,human_review,v3,jev-1.13.0
nairaland-d4c8f71acf83,negative,0.92,0.06,moderate,unclear,0.96,0.31,english,0.74,auto,v3,jev-1.13.0
nairaland-8104ccc9a881,negative,0.56,0.05,strong,unclear,0.99,0.38,mixed,0.53,human_review,v3,jev-1.13.0
nairaland-14f2a33381ec,not_about_candidate,0.92,0.02,strong,unclear,1.0,0.29,english,0.97,auto,v3,jev-1.13.0
nairaland-ee4b3e3acd74,not_about_candidate,0.49,0.02,strong,unclear,0.95,0.32,english,0.93,human_review,v3,jev-1.13.0
nairaland-a38b967fda72,not_about_candidate,0.75,0.02,strong,unclear,0.98,0.5,english,0.95,human_review,v3,jev-1.13.0
nairaland-4de031ff4e2e,not_about_candidate,0.81,0.02,strong,unclear,1.0,0.25,english,0.84,auto,v3,jev-1.13.0
