raw_id,sentiment_label,sentiment_confidence,mentions_candidate_probability,intensity_score,lga_relevance_label,lga_confidence,opposition_signal_probability,language_label,language_confidence,routing_decision,schema_version,model
PILOT-0052,positive,0.98,0.94,mild,Bogoro,1.0,0.16,english,1.0,auto,v2,jev-1.13.0
PILOT-0053,positive,0.99,0.96,mild,Bogoro,1.0,0.19,english,1.0,auto,v2,jev-1.13.0
PILOT-0054,negative,1.0,0.96,strong,Bogoro,1.0,0.27,english,0.98,auto,v2,jev-1.13.0
PILOT-0055,negative,0.95,0.98,strong,Bogoro,1.0,0.55,english,0.9,auto,v2,jev-1.13.0
PILOT-0056,negative,0.95,0.92,strong,Bogoro,1.0,0.94,english,0.97,auto,v2,jev-1.13.0
PILOT-0057,neutral,0.9,0.92,calm,Bogoro,1.0,0.15,english,0.99,auto,v2,jev-1.13.0
PILOT-0058,neutral,0.83,0.92,calm,Bogoro,1.0,0.13,english,1.0,auto,v2,jev-1.13.0
PILOT-0059,not_about_candidate,1.0,0.02,mild,Bogoro,1.0,0.06,english,1.0,auto,v2,jev-1.13.0
PILOT-0060,not_about_candidate,1.0,0.02,calm,Bogoro,1.0,0.04,english,0.98,auto,v2,jev-1.13.0
PILOT-0061,not_about_candidate,1.0,0.02,mild,Bogoro,1.0,0.06,english,1.0,auto,v2,jev-1.13.0
PILOT-0062,not_about_candidate,0.99,0.02,mild,Bogoro,1.0,0.07,english,1.0,auto,v2,jev-1.13.0
PILOT-0063,positive,0.34,0.98,calm,Bogoro,1.0,0.31,hausa,0.58,human_review,v2,jev-1.13.0
PILOT-0064,positive,0.8,0.92,mild,Bogoro,1.0,0.21,hausa,0.95,auto,v2,jev-1.13.0
PILOT-0065,negative,0.54,0.96,strong,Bogoro,1.0,0.36,hausa,0.52,human_review,v2,jev-1.13.0
PILOT-0066,negative,0.91,0.96,strong,Bogoro,1.0,0.44,hausa,0.56,auto,v2,jev-1.13.0
PILOT-0067,negative,0.29,0.85,calm,Bogoro,1.0,0.84,hausa,0.66,human_review,v2,jev-1.13.0
PILOT-0068,neutral,0.83,0.93,calm,Bogoro,1.0,0.16,hausa,0.94,auto,v2,jev-1.13.0
PILOT-0069,not_about_candidate,0.7,0.04,mild,Bogoro,0.99,0.15,hausa,0.88,human_review,v2,jev-1.13.0
PILOT-0070,not_about_candidate,0.95,0.03,calm,Bogoro,1.0,0.06,hausa,0.95,auto,v2,jev-1.13.0
PILOT-0071,positive,0.99,0.97,mild,Bogoro,1.0,0.3,mixed,0.76,auto,v2,jev-1.13.0
PILOT-0072,negative,0.73,0.93,strong,Bogoro,0.98,0.41,mixed,0.81,human_review,v2,jev-1.13.0
PILOT-0073,negative,0.81,0.94,mild,Bogoro,1.0,0.96,hausa,0.42,auto,v2,jev-1.13.0
PILOT-0074,neutral,0.98,0.93,calm,Bogoro,1.0,0.15,hausa,0.34,auto,v2,jev-1.13.0
PILOT-0075,not_about_candidate,1.0,0.02,calm,Bogoro,1.0,0.05,mixed,0.61,auto,v2,jev-1.13.0
PILOT-0076,positive,1.0,0.99,moderate,Dambam,1.0,0.23,english,0.99,auto,v2,jev-1.13.0
PILOT-0077,positive,0.9,0.92,mild,Dambam,1.0,0.22,english,0.95,auto,v2,jev-1.13.0
PILOT-0078,positive,0.99,0.95,mild,Dambam,1.0,0.2,english,0.99,auto,v2,jev-1.13.0
PILOT-0079,negative,1.0,0.97,strong,Dambam,1.0,0.3,english,0.91,auto,v2,jev-1.13.0
PILOT-0080,negative,0.99,0.98,strong,Dambam,1.0,0.47,english,0.82,auto,v2,jev-1.13.0
PILOT-0081,negative,0.97,0.9,strong,Dambam,1.0,0.94,english,0.98,auto,v2,jev-1.13.0
PILOT-0082,neutral,1.0,0.88,calm,Dambam,1.0,0.13,english,0.99,auto,v2,jev-1.13.0
PILOT-0083,neutral,0.9,0.92,calm,Dambam,1.0,0.16,english,1.0,auto,v2,jev-1.13.0
PILOT-0084,not_about_candidate,0.99,0.02,mild,Dambam,1.0,0.09,english,0.99,auto,v2,jev-1.13.0
PILOT-0085,not_about_candidate,1.0,0.02,mild,Dambam,1.0,0.08,english,0.99,auto,v2,jev-1.13.0
PILOT-0086,not_about_candidate,0.99,0.02,mild,Dambam,1.0,0.08,english,0.99,auto,v2,jev-1.13.0
PILOT-0087,not_about_candidate,1.0,0.02,calm,Dambam,1.0,0.04,english,0.97,auto,v2,jev-1.13.0
PILOT-0088,positive,0.59,0.93,mild,Dambam,1.0,0.23,hausa,0.94,human_review,v2,jev-1.13.0
PILOT-0089,positive,0.52,0.98,calm,Dambam,1.0,0.22,hausa,0.65,human_review,v2,jev-1.13.0
PILOT-0090,negative,0.91,0.96,strong,Dambam,1.0,0.37,hausa,0.69,auto,v2,jev-1.13.0
PILOT-0091,negative,0.87,0.96,strong,Dambam,1.0,0.46,hausa,0.48,auto,v2,jev-1.13.0
PILOT-0092,negative,0.83,0.94,moderate,Dambam,1.0,0.89,hausa,0.78,auto,v2,jev-1.13.0
PILOT-0093,neutral,0.9,0.93,calm,Dambam,1.0,0.18,hausa,0.96,auto,v2,jev-1.13.0
PILOT-0094,not_about_candidate,0.94,0.03,calm,Dambam,1.0,0.07,hausa,0.96,auto,v2,jev-1.13.0
PILOT-0095,not_about_candidate,0.5,0.05,mild,Dambam,1.0,0.15,hausa,0.95,human_review,v2,jev-1.13.0
PILOT-0096,positive,0.96,0.97,mild,Dambam,1.0,0.28,mixed,0.63,auto,v2,jev-1.13.0
PILOT-0097,negative,0.92,0.96,moderate,Dambam,0.99,0.55,mixed,0.89,auto,v2,jev-1.13.0
PILOT-0098,negative,0.8,0.94,mild,Dambam,1.0,0.96,hausa,0.67,auto,v2,jev-1.13.0
PILOT-0099,neutral,0.98,0.93,calm,Dambam,1.0,0.19,mixed,0.42,auto,v2,jev-1.13.0
PILOT-0100,not_about_candidate,1.0,0.02,calm,Dambam,1.0,0.05,mixed,0.57,auto,v2,jev-1.13.0
PILOT-0101,positive,0.99,0.95,mild,Darazo,1.0,0.18,english,0.98,auto,v2,jev-1.13.0
PILOT-0102,positive,1.0,0.98,moderate,Darazo,0.99,0.26,english,0.98,auto,v2,jev-1.13.0
PILOT-0103,positive,1.0,0.98,moderate,Darazo,1.0,0.21,english,0.98,auto,v2,jev-1.13.0
PILOT-0104,negative,0.99,0.99,strong,Darazo,1.0,0.58,english,0.9,auto,v2,jev-1.13.0
PILOT-0105,negative,1.0,0.95,strong,Darazo,1.0,0.27,english,0.91,auto,v2,jev-1.13.0
PILOT-0106,negative,0.95,0.91,strong,Darazo,1.0,0.93,english,0.94,auto,v2,jev-1.13.0
PILOT-0107,neutral,0.99,0.84,calm,Darazo,1.0,0.13,english,0.99,auto,v2,jev-1.13.0
PILOT-0108,neutral,0.69,0.92,calm,Darazo,0.99,0.13,english,0.99,human_review,v2,jev-1.13.0
PILOT-0109,not_about_candidate,1.0,0.02,calm,Darazo,0.99,0.03,english,0.98,auto,v2,jev-1.13.0
PILOT-0110,not_about_candidate,0.99,0.02,mild,Darazo,0.95,0.08,english,0.99,auto,v2,jev-1.13.0
PILOT-0111,not_about_candidate,1.0,0.02,mild,Darazo,0.99,0.07,english,0.99,auto,v2,jev-1.13.0
PILOT-0112,not_about_candidate,0.99,0.02,mild,Darazo,0.96,0.07,english,1.0,auto,v2,jev-1.13.0
PILOT-0113,positive,0.71,0.98,strong,Darazo,0.99,0.36,hausa,0.57,human_review,v2,jev-1.13.0
PILOT-0114,positive,0.99,0.92,mild,Darazo,0.99,0.25,hausa,0.97,auto,v2,jev-1.13.0
PILOT-0115,negative,0.83,0.95,strong,Darazo,0.99,0.39,hausa,0.56,auto,v2,jev-1.13.0
PILOT-0116,negative,0.94,0.96,strong,Darazo,1.0,0.46,hausa,0.53,auto,v2,jev-1.13.0
PILOT-0117,negative,0.39,0.92,mild,Darazo,1.0,0.85,hausa,0.75,human_review,v2,jev-1.13.0
PILOT-0118,neutral,0.93,0.9,calm,Darazo,1.0,0.12,hausa,0.95,auto,v2,jev-1.13.0
PILOT-0119,not_about_candidate,0.66,0.03,mild,Darazo,0.99,0.11,hausa,0.89,human_review,v2,jev-1.13.0
PILOT-0120,not_about_candidate,0.6,0.04,mild,Darazo,0.99,0.12,hausa,0.92,human_review,v2,jev-1.13.0
PILOT-0121,positive,0.98,0.88,mild,Darazo,1.0,0.24,mixed,0.75,auto,v2,jev-1.13.0
PILOT-0122,negative,0.93,0.96,strong,Darazo,0.99,0.47,mixed,0.97,auto,v2,jev-1.13.0
PILOT-0123,negative,0.74,0.94,mild,Darazo,1.0,0.95,hausa,0.52,human_review,v2,jev-1.13.0
PILOT-0124,neutral,0.97,0.93,calm,Darazo,1.0,0.16,hausa,0.49,auto,v2,jev-1.13.0
PILOT-0125,not_about_candidate,1.0,0.02,calm,Darazo,0.99,0.04,mixed,0.67,auto,v2,jev-1.13.0
PILOT-0126,positive,1.0,0.98,moderate,Dass,1.0,0.32,english,0.99,auto,v2,jev-1.13.0
PILOT-0127,positive,0.99,0.94,mild,Dass,1.0,0.23,english,0.97,auto,v2,jev-1.13.0
PILOT-0128,positive,0.95,0.93,mild,Dass,1.0,0.27,english,0.98,auto,v2,jev-1.13.0
PILOT-0129,negative,0.97,0.91,strong,Dass,1.0,0.55,english,1.0,auto,v2,jev-1.13.0
PILOT-0130,negative,1.0,0.97,strong,Dass,0.98,0.29,english,0.91,auto,v2,jev-1.13.0
PILOT-0131,negative,0.89,0.9,strong,Dass,1.0,0.93,english,0.98,auto,v2,jev-1.13.0
PILOT-0132,neutral,0.88,0.93,calm,Dass,1.0,0.15,english,0.98,auto,v2,jev-1.13.0
PILOT-0133,neutral,0.99,0.84,calm,Dass,1.0,0.14,english,0.99,auto,v2,jev-1.13.0
PILOT-0134,not_about_candidate,0.99,0.02,mild,Dass,1.0,0.08,english,1.0,auto,v2,jev-1.13.0
PILOT-0135,not_about_candidate,0.99,0.02,mild,Dass,1.0,0.09,english,1.0,auto,v2,jev-1.13.0
PILOT-0136,not_about_candidate,1.0,0.02,calm,Dass,1.0,0.04,english,0.93,auto,v2,jev-1.13.0
PILOT-0137,not_about_candidate,1.0,0.02,mild,Dass,1.0,0.09,english,0.99,auto,v2,jev-1.13.0
PILOT-0138,positive,0.46,0.92,mild,Dass,1.0,0.24,hausa,0.92,human_review,v2,jev-1.13.0
PILOT-0139,positive,0.97,0.92,mild,Dass,1.0,0.21,hausa,0.96,auto,v2,jev-1.13.0
PILOT-0140,negative,0.97,0.96,strong,Dass,1.0,0.43,hausa,0.69,auto,v2,jev-1.13.0
PILOT-0141,negative,0.92,0.96,strong,Dass,1.0,0.41,hausa,0.73,auto,v2,jev-1.13.0
PILOT-0142,negative,0.47,0.91,calm,Dass,1.0,0.88,hausa,0.67,human_review,v2,jev-1.13.0
PILOT-0143,neutral,0.98,0.94,calm,Dass,1.0,0.16,hausa,0.95,auto,v2,jev-1.13.0
PILOT-0144,not_about_candidate,0.96,0.03,calm,Dass,1.0,0.06,hausa,0.97,auto,v2,jev-1.13.0
PILOT-0145,not_about_candidate,0.42,0.04,mild,Dass,0.99,0.16,hausa,0.92,human_review,v2,jev-1.13.0
PILOT-0146,positive,0.97,0.96,mild,Dass,1.0,0.18,mixed,0.83,auto,v2,jev-1.13.0
PILOT-0147,negative,0.62,0.94,strong,Dass,0.99,0.42,mixed,0.79,human_review,v2,jev-1.13.0
PILOT-0148,negative,0.88,0.94,mild,Dass,1.0,0.96,hausa,0.49,auto,v2,jev-1.13.0
PILOT-0149,neutral,0.97,0.94,calm,Dass,1.0,0.18,mixed,0.62,auto,v2,jev-1.13.0
PILOT-0150,not_about_candidate,1.0,0.02,calm,Dass,1.0,0.05,mixed,0.64,auto,v2,jev-1.13.0
PILOT-0151,positive,1.0,0.98,moderate,Gamawa,1.0,0.33,english,0.99,auto,v2,jev-1.13.0
PILOT-0152,positive,0.99,0.95,mild,Gamawa,1.0,0.23,english,0.99,auto,v2,jev-1.13.0
PILOT-0153,positive,1.0,0.98,moderate,Gamawa,1.0,0.32,english,0.98,auto,v2,jev-1.13.0
PILOT-0154,negative,0.99,0.98,strong,Gamawa,1.0,0.53,english,0.89,auto,v2,jev-1.13.0
PILOT-0155,negative,0.98,0.93,strong,Gamawa,1.0,0.57,english,0.99,auto,v2,jev-1.13.0
PILOT-0156,negative,0.99,0.95,strong,Gamawa,1.0,0.95,english,0.85,auto,v2,jev-1.13.0
PILOT-0157,neutral,0.99,0.86,calm,Gamawa,1.0,0.13,english,0.99,auto,v2,jev-1.13.0
PILOT-0158,neutral,0.87,0.91,calm,Gamawa,1.0,0.15,english,1.0,auto,v2,jev-1.13.0
PILOT-0159,not_about_candidate,0.99,0.03,mild,Gamawa,1.0,0.07,english,1.0,auto,v2,jev-1.13.0
PILOT-0160,not_about_candidate,0.99,0.02,mild,Gamawa,1.0,0.08,english,1.0,auto,v2,jev-1.13.0
PILOT-0161,not_about_candidate,1.0,0.02,mild,Gamawa,1.0,0.08,english,0.99,auto,v2,jev-1.13.0
PILOT-0162,not_about_candidate,0.99,0.02,mild,Gamawa,1.0,0.08,english,1.0,auto,v2,jev-1.13.0
PILOT-0163,positive,0.94,0.93,mild,Gamawa,0.99,0.2,hausa,0.95,auto,v2,jev-1.13.0
PILOT-0164,positive,0.9,0.93,mild,Gamawa,0.99,0.2,hausa,0.95,auto,v2,jev-1.13.0
PILOT-0165,negative,0.98,0.96,strong,Gamawa,1.0,0.46,hausa,0.7,auto,v2,jev-1.13.0
PILOT-0166,negative,0.74,0.95,strong,Gamawa,0.99,0.52,hausa,0.58,human_review,v2,jev-1.13.0
PILOT-0167,negative,0.79,0.93,moderate,Gamawa,1.0,0.9,hausa,0.68,human_review,v2,jev-1.13.0
PILOT-0168,neutral,0.92,0.94,calm,Gamawa,1.0,0.17,hausa,0.94,auto,v2,jev-1.13.0
PILOT-0169,not_about_candidate,0.97,0.03,calm,Gamawa,1.0,0.06,hausa,0.97,auto,v2,jev-1.13.0
PILOT-0170,not_about_candidate,0.97,0.03,calm,Gamawa,0.99,0.06,hausa,0.96,auto,v2,jev-1.13.0
PILOT-0171,positive,0.97,0.92,moderate,Gamawa,1.0,0.27,mixed,0.91,auto,v2,jev-1.13.0
PILOT-0172,negative,0.67,0.93,strong,Gamawa,0.93,0.45,mixed,0.82,human_review,v2,jev-1.13.0
PILOT-0173,negative,0.9,0.94,mild,Gamawa,1.0,0.96,hausa,0.52,auto,v2,jev-1.13.0
PILOT-0174,neutral,0.98,0.92,calm,Gamawa,1.0,0.16,hausa,0.55,auto,v2,jev-1.13.0
PILOT-0175,not_about_candidate,1.0,0.02,calm,Gamawa,1.0,0.05,mixed,0.61,auto,v2,jev-1.13.0
PILOT-0176,positive,0.99,0.94,mild,Ganjuwa,1.0,0.29,english,0.99,auto,v2,jev-1.13.0
PILOT-0177,positive,0.87,0.91,mild,Ganjuwa,1.0,0.24,english,0.95,auto,v2,jev-1.13.0
PILOT-0178,positive,0.99,0.94,mild,Ganjuwa,1.0,0.31,english,0.99,auto,v2,jev-1.13.0
PILOT-0179,negative,0.8,0.94,strong,Ganjuwa,1.0,0.57,english,0.93,auto,v2,jev-1.13.0
PILOT-0180,negative,1.0,0.96,strong,Ganjuwa,1.0,0.32,english,0.96,auto,v2,jev-1.13.0
PILOT-0181,negative,0.96,0.94,moderate,Ganjuwa,1.0,0.92,english,0.95,auto,v2,jev-1.13.0
PILOT-0182,neutral,0.99,0.86,calm,Ganjuwa,1.0,0.14,english,0.99,auto,v2,jev-1.13.0
PILOT-0183,neutral,0.91,0.92,calm,Ganjuwa,1.0,0.16,english,1.0,auto,v2,jev-1.13.0
PILOT-0184,not_about_candidate,0.99,0.02,mild,Ganjuwa,1.0,0.08,english,1.0,auto,v2,jev-1.13.0
PILOT-0185,not_about_candidate,0.99,0.03,mild,Ganjuwa,1.0,0.08,english,0.99,auto,v2,jev-1.13.0
PILOT-0186,not_about_candidate,1.0,0.02,calm,Ganjuwa,1.0,0.05,english,0.98,auto,v2,jev-1.13.0
PILOT-0187,not_about_candidate,1.0,0.02,calm,Ganjuwa,1.0,0.04,english,0.98,auto,v2,jev-1.13.0
PILOT-0188,positive,0.66,0.98,moderate,Ganjuwa,0.99,0.43,hausa,0.75,human_review,v2,jev-1.13.0
PILOT-0189,positive,0.98,0.95,mild,Ganjuwa,1.0,0.25,hausa,0.95,auto,v2,jev-1.13.0
PILOT-0190,negative,0.93,0.96,strong,Ganjuwa,0.99,0.44,hausa,0.66,auto,v2,jev-1.13.0
PILOT-0191,negative,0.86,0.96,strong,Ganjuwa,1.0,0.4,hausa,0.71,auto,v2,jev-1.13.0
PILOT-0192,negative,0.45,0.94,calm,Ganjuwa,0.99,0.87,hausa,0.8,human_review,v2,jev-1.13.0
PILOT-0193,neutral,0.86,0.94,calm,Ganjuwa,1.0,0.17,hausa,0.95,auto,v2,jev-1.13.0
PILOT-0194,not_about_candidate,0.95,0.03,calm,Ganjuwa,1.0,0.08,hausa,0.95,auto,v2,jev-1.13.0
PILOT-0195,not_about_candidate,0.96,0.03,calm,Ganjuwa,1.0,0.09,hausa,0.95,auto,v2,jev-1.13.0
PILOT-0196,positive,1.0,0.9,mild,Ganjuwa,1.0,0.26,mixed,0.86,auto,v2,jev-1.13.0
PILOT-0197,negative,0.78,0.95,strong,Ganjuwa,0.97,0.45,mixed,0.83,human_review,v2,jev-1.13.0
PILOT-0198,negative,0.6,0.93,mild,Ganjuwa,1.0,0.95,hausa,0.58,human_review,v2,jev-1.13.0
PILOT-0199,neutral,0.97,0.93,calm,Ganjuwa,1.0,0.16,hausa,0.77,auto,v2,jev-1.13.0
PILOT-0200,not_about_candidate,1.0,0.02,calm,Ganjuwa,1.0,0.05,mixed,0.6,auto,v2,jev-1.13.0
PILOT-0201,positive,0.99,0.95,mild,Giade,1.0,0.22,english,0.99,auto,v2,jev-1.13.0
PILOT-0202,positive,0.99,0.9,mild,Giade,1.0,0.25,english,0.98,auto,v2,jev-1.13.0
PILOT-0203,positive,0.97,0.94,mild,Giade,1.0,0.24,english,0.98,auto,v2,jev-1.13.0
PILOT-0204,negative,1.0,0.96,strong,Giade,1.0,0.28,english,0.95,auto,v2,jev-1.13.0
PILOT-0205,negative,0.99,0.93,strong,Giade,1.0,0.52,english,1.0,auto,v2,jev-1.13.0
PILOT-0206,negative,0.99,0.94,moderate,Giade,1.0,0.94,english,0.83,auto,v2,jev-1.13.0
PILOT-0207,neutral,0.88,0.93,calm,Giade,1.0,0.17,english,1.0,auto,v2,jev-1.13.0
PILOT-0208,neutral,0.91,0.93,calm,Giade,1.0,0.17,english,0.99,auto,v2,jev-1.13.0
PILOT-0209,not_about_candidate,0.99,0.03,mild,Giade,1.0,0.08,english,1.0,auto,v2,jev-1.13.0
PILOT-0210,not_about_candidate,1.0,0.02,calm,Giade,1.0,0.04,english,0.91,auto,v2,jev-1.13.0
PILOT-0211,not_about_candidate,1.0,0.02,mild,Giade,1.0,0.08,english,1.0,auto,v2,jev-1.13.0
PILOT-0212,not_about_candidate,1.0,0.02,mild,Giade,1.0,0.08,english,1.0,auto,v2,jev-1.13.0
PILOT-0213,positive,0.82,0.91,mild,Giade,1.0,0.19,hausa,0.95,auto,v2,jev-1.13.0
PILOT-0214,positive,0.99,0.94,mild,Giade,1.0,0.19,hausa,0.95,auto,v2,jev-1.13.0
PILOT-0215,negative,0.98,0.96,strong,Giade,1.0,0.4,hausa,0.62,auto,v2,jev-1.13.0
PILOT-0216,negative,0.89,0.96,strong,Giade,1.0,0.45,hausa,0.66,auto,v2,jev-1.13.0
PILOT-0217,negative,0.73,0.93,mild,Giade,1.0,0.89,hausa,0.68,human_review,v2,jev-1.13.0
PILOT-0218,neutral,0.97,0.94,calm,Giade,1.0,0.17,hausa,0.95,auto,v2,jev-1.13.0
PILOT-0219,not_about_candidate,0.52,0.04,mild,Giade,0.99,0.19,hausa,0.87,human_review,v2,jev-1.13.0
PILOT-0220,not_about_candidate,0.5,0.04,mild,Giade,0.99,0.18,hausa,0.85,human_review,v2,jev-1.13.0
PILOT-0221,positive,0.98,0.9,mild,Giade,1.0,0.27,mixed,0.93,auto,v2,jev-1.13.0
PILOT-0222,negative,0.82,0.93,strong,Giade,0.99,0.48,mixed,0.72,auto,v2,jev-1.13.0
PILOT-0223,negative,0.79,0.94,mild,Giade,1.0,0.96,hausa,0.53,human_review,v2,jev-1.13.0
PILOT-0224,neutral,0.98,0.93,calm,Giade,1.0,0.15,hausa,0.33,auto,v2,jev-1.13.0
PILOT-0225,not_about_candidate,1.0,0.02,calm,Giade,1.0,0.06,mixed,0.56,auto,v2,jev-1.13.0
PILOT-0226,positive,1.0,0.98,moderate,Itas-Gadau,1.0,0.26,english,0.98,auto,v2,jev-1.13.0
PILOT-0227,positive,0.93,0.89,mild,Itas-Gadau,1.0,0.23,english,0.99,auto,v2,jev-1.13.0
PILOT-0228,positive,1.0,0.99,mild,Itas-Gadau,1.0,0.31,english,0.96,auto,v2,jev-1.13.0
PILOT-0229,negative,1.0,0.98,strong,Itas-Gadau,1.0,0.54,english,0.84,auto,v2,jev-1.13.0
PILOT-0230,negative,1.0,0.96,strong,Itas-Gadau,1.0,0.26,english,0.79,auto,v2,jev-1.13.0
PILOT-0231,negative,0.99,0.96,strong,Itas-Gadau,1.0,0.93,english,0.85,auto,v2,jev-1.13.0
PILOT-0232,neutral,1.0,0.84,calm,Itas-Gadau,1.0,0.14,english,0.99,auto,v2,jev-1.13.0
