achievement_id,actor,lga,sector,project_or_programme,project_or_programme_ha,description,description_ha,status,status_ha,date,beneficiaries,budget_or_scale,outcome_measure,outcome_measure_ha,source_id,evidence_grade,verification_status,verification_status_ha
achievement-bauchi-ward-road,Tribune Online and Bauchi State Government,Bauchi,infrastructure,Kangere Ward rural road,Hanya ta Kangere,A 2km rural road in Kangere Ward was flagged off for construction.,An fara aikin hanya ta karkara na 2km a Kangere Ward.,Project underway,Aiki yana ci gaba,2025-04-06,Kangere Ward communities,2km road,Completion and community access to be measured,Za a aunawa kammawar hanya da damar al'umma.,source-bauchi-ward-road,B,Construction launch reported; completion not yet verified,An bada rahotar fara gina; kammawa ba a tabbatar da ita ba
achievement-bogoro-road,The Sun Nigeria and Bauchi State Government,Bogoro,infrastructure,Boi-Tapshin road project,Hanya na Boi-Tapshin,The 11km Boi-Tapshin road was reported complete with a five-span bridge culverts and a 10.3m carriageway.,An ba da rahotar cewa an kammata hanya 11km na Boi-Tapshin tare da madashi da kyakkyawan kowane.,Progress delivered,An ci gaba da isar haɗi,2025-09-12,Boi Tapshin and surrounding communities,11km road; five-span bridge; 10.3m carriageway,Road safety trade access and maintenance to be measured,Za a aunawa lafiya da damar kasuwa da kulawa.,source-bogoro-road,B,Completed and handed over after maintenance period; outcomes require follow-up,An kammala an kuma canza shi bayan lokacin gyarawa; sakamako suna buƙatar bita
achievement-dambam-health,Tribune Online and Bauchi State Government,Dambam,health,Dagauda Model Primary Health Centre,Cibiyar kiyaye lafiya ta Dagauda,The Dagauda facility was reported expanded from 30 to 49 beds with 24-hour solar power water supply and free maternal services.,An ba da rahotar cewa an kara cibiyar Dagauda daga 30 zuwa 49 dariya tare da haskacen rana 24 awa da ruwa da sabis na iyali.,Progress delivered,An ci gaba da isar lafiya,2025-09-07,Dagauda and surrounding communities,30 to 49 beds; 24-hour solar power,Patient reach staffing and maternal outcomes to be measured,Za a aunawa isa da marasa lafiya da kashi da mace.,source-dambam-health,B,Expansion and services reported; source notes a staffing shortage,An bada rahotar faɓa da sabis; sauro yana loke cewa akwai karamin kowane aiki
achievement-dass-road,9News Nigeria and Bauchi State Government,Dass,infrastructure,Dass township roads,Hanyoyi Birnin Dass,Construction was initiated for 8.53km of Dass township roads and 12.50km of Dur-Dado Road.,An fara ayyukan hanya 8.53km na birnin Dass da 12.50km na Dur-Dado.,Project underway,Aiki yana ci gaba,2024-09-14,Dass communities,8.53km township roads; 12.50km Dur-Dado Road,Completion and connectivity to be measured,Za a aunawa kammawar ayyuka da haɗi.,source-dass-road,B,Construction announcement; completion not yet verified,Sanarwar gina; kammawa ba a tabbatar da ita ba
achievement-ganjuwa-education,Bauchi State Government,Ganjuwa,education,Sultan Sa'ad Abubakar School graduation,Zamantakar Makaranta na Sultan Sa'ad Abubakar,The graduation ceremony at the Ganjuwa school reported 71 graduating groups and support pledged for a laboratory and school bus.,Aikin matarkar makaranta a Ganjuwa ya ba da rahotar 71 mataki da tallafi na gwaji da basi.,Progress delivered,An ci gaba da isar ilimi,2023-12-28,Students and families in Miya,71 graduating groups; laboratory and bus pledged,Learning access and follow-on support to be measured,Za a aunawa damar ilimi da goyon bayan.,source-ganjuwa-education,A,Graduation verified; laboratory and bus are pledged support,An tabbatar da shigar da yara; ma'auni da buɗi tana goyon bayan da aike
achievement-giade-mill,FSSS Nigeria,Giade,livelihoods,Kurba rice milling hub,Cibiyar da aka bin dawa na shinkafar Kurba,An 11/30kW rice mill and permanent structure were provided to a Kurba farmer raising reported capacity from 10 to up to 30 bags per day.,An samar da na'urar da aka bin dawa 11/30kW da tsari mai zama wanda ya karfi iya aiki daga 10 zuwa 30 bujiga a rana.,Progress delivered,An ci gaba da isar rayuwa,2026-07-10,Kurba farmers and neighbouring communities,11/30kW mill; 10 to up to 30 bags reported per day,Farmer income processing time and youth skills to be measured,Za a aunawa kudin manoma da lokacin sarawa da horar da yara.,source-giade-mill,A,Implementing partner reports a completed local milling upgrade,Babban abokin aiki ya ba da rahotar cewa an kammata haɓa na sarrafa shinkafar gari
achievement-jamaare-flood,Federal Government of Nigeria and Bauchi State Government,Jamaare,wash,Jamaare flood and erosion control project,Shinin kama da ruwa a Jamaare,The federal flood and erosion control project in Jamaare was commissioned and handed over to the community.,An gurbatar da shinin kama da ruwa a Jamaare an kuma mayar da hannu ga al'umma.,Progress delivered,An ci gaba da isar tauri,2022-01-24,Jamaare town and surrounding communities,Flood and erosion control project commissioned,Maintenance and reduced flood disruption to be measured,Za a aunawa kulawa da rage sauyewa.,source-jamaare-flood,A,Commissioning and handover verified; maintenance and outcome follow-up required,An tabbatar da fara amfani da canza shi; kulawa da bin sakamako suna buƙatar ci gaba
achievement-ningi-road,Albarka Radio and Bauchi State Government,Ningi,infrastructure,4km Nasaru township road,Hanya ta 4km na Nasaru,A 4km Nasaru township road was reported completed while the 22km Bauchi-Kano carriageway was reported above 70 percent complete.,An ba da rahotar cewa an kammata hanya 4km na Nasuru yayin da 22km ta Bauchi-Kano ce ta fiye da 70 ciki 100.,Progress delivered,An ci gaba da isar haɗi,2025-09-12,Nasaru and Ningi communities,4km completed; 22km carriageway above 70 percent,Completion of the carriageway and access outcomes to be measured,Za a aunawa kammawar babban hanya da sabis.,source-ningi-road,B,4km completion reported; 22km completion not yet verified,An bada rahotar kammar 4km; kammar 22km ba a tabbatar da ita ba
achievement-torodo-water,Tribune Online / WaterAid / RUWASA,Tafawa-Balewa,wash,Water facilities for 30 communities,Abubuwa na ruwa ga al'umma 30,Water facilities were handed over to 30 communities in 10 clusters in Tafawa-Balewa with reported reach of at least 15000 people.,An mayar da abubuwa na ruwa ga al'umma 30 a cikin ƙungiya 10 a Tafawa-Balewa tare da faɗin zuwa mutane 15000 ko fi.,Project underway,Aiki yana ci gaba,2024-12-17,Thirty Tafawa-Balewa communities,30 communities in 10 clusters; at least 15000 reported reach,Reliability and beneficiary use of water to be measured,Za a aunawa dogaro da amfani da ruwa.,source-torodo-water,B,Handover reported; beneficiary results require follow-up,An bada rahotar canza shi; sakamako ga masu amfani suna buƙatar bita
achievement-warji-acresal,ACReSAL / Tribune Online,Warji,wash,Warji nursery and integrated water scheme,Ko'ina yaji da tsayawa na ACReSAL,ACReSAL handed over a plant nursery at Government Secondary School Katanga and an integrated water scheme at Sabon Jeji-Gajana in Warji.,ACReSAL ya mayar da ko'ina yaji a makarata ta Tsangaraya Katanga da tsarin ruwa a Sabon Jeji-Gajana a Warji.,Project underway,Aiki yana ci gaba,2025-07-26,Warji schools and communities,One nursery and one integrated water scheme,Handover quality and utilization to be measured,Za a aunawa inganci da sauƙin amfani.,source-warji-acresal,B,Handover reported; utilization and outcome follow-up required,An bada rahotar canza shi; amfani da bin sakamako suna buƙatar ci gaba
achievement-education-scorecard,Bauchi State Government,Statewide,education,Education delivery scorecard,Kuskantin ilimi,The state reported rehabilitating or constructing 300 schools deploying 3000 teachers providing 30474 furniture units and mapping 21000 non-formal Qur'anic schools.,Jihada ta ba da rahotar gyara ko gina makaranta 300 da tafi da dalila 3000 da kujewa 30474 da yin taswirar makarantafi Qur'anic 21000.,Progress delivered,An ci gaba da isar ilimi,2025-05-26,Students teachers and communities,300 schools; 3000 teachers; 30474 furniture units; 21000 schools mapped,Learning outcomes and continued funding to be measured,Za a aunawa nasara na ilmima da ci gaba da funding.,source-basg-education-scorecard,A,State-reported delivery outputs; learning outcomes require follow-up,Abubuwan da jihada ta bada rahotar; sakamakon koyo suna buƙatar bita
achievement-misau-fmc,Federal Medical Centre Misau,Misau,health,Federal Medical Centre Misau clinical operations,Ayyukan lafiya na FMC Misau,The official facility history records handover from Bauchi State and commencement of full clinical activities at FMC Misau.,Shafiyar cibiyar ta ba da rahotar an mayar da cibiyar daga jihada kuma aka fara ayyukan lafiya cikakke.,Progress delivered,An ci gaba da isar lafiya,2026-02-24,Misau patients and referrals,FMC Misau operational since November 2024,Patient volumes and specialist access to be measured,Za a aunawa marasa lafiya da karkashin kwaye.,source-misau-fmc,A,Operational commencement verified; patient volume and outcome data require follow-up,An tabbatar da fara aiki; adadin marasa lafiya da bayanan sakamako suna buƙatar bita
achievement-toro-odf,UNICEF Nigeria and Bauchi State Government,Toro,wash,Toro open-defecation-free validation,Tabbacin Toro marasa zaɓa daƙawa,UNICEF reports that Toro was validated open-defecation-free in 2022 after community action WASH byelaw and sanitation measures.,UNICEF ya ba da rahotar cewa an tabbatar Toro a cikin 2022 a matsayin marasa zaɓa daƙawa bayan ayyuka da doka.,Progress delivered,An ci gaba da isar tauri,2023-04-04,Toro communities,ODF validation in 2022; five persons per toilet in some communities,Maintenance and sanitation behaviour to be measured,Za a aunawa kulawa da yadar da tauri.,source-toro-sanitation,A,National taskforce validation reported by UNICEF; LGA-wide follow-up survey still useful,UNICEF ya ba da rahotar tabbacin na tawakar nazari; an kuma buƙatar bita a cikin LGA gaba daya
achievement-zaki-boreholes,UNICEF DFID RUWASA and The Nation,Zaki,wash,Zaki girls education water facilities,Abubuwa na ruwa na ilimi na Zaki,The Nation reported 68 hand-pump boreholes provided in Zaki under the Girls Education Project Phase 3.,The Nation ya ba da rahotar an samar da 68 na hand-pump boreholes a Zaki a cikin Girls Education Project Phase 3.,Progress delivered,An ci gaba da isar tauri,2020-03-03,Zaki schools and communities,68 boreholes; 401 across six Bauchi LGAs,Current functionality and beneficiary use to be measured,Za a aunawa aiki da amfani da ruwa.,source-zaki-boreholes,B,Reported delivery from 2020; current functionality and locations require follow-up,An bada rahotar isar da shi tun 2020; aiki na yanzu da wurare suna buƙatar bita
achievement-estrra-outcomes,FSSS Nigeria,Bauchi North LGAs,livelihoods,ESTRRA six-month livelihood outcomes,Sakamakon rayuwa na ESTRRA,The implementing partner reported 3416 farmers reached 3082 accessing improved services processing rising from under 300 to about 881 kg per week and monthly income rising 49 percent with 19 jobs created.,Mashirin aiwatar da ya ba da rahotar manoma 3416 da 3082 samu sabis mai inganci da kuma karuwar sarawa daga 300 zuwa 881 kg na maki tare da kudin tafiye ya karu 49 ciki 100 da ayyuka 19.,Outcome being measured,Ana aunawa sakamako,2026-06-14,Bauchi North smallholder farmers,3416 farmers; 49 percent income increase; 19 jobs; 881 kg per week,Independent follow-up on income durability and inclusion to be measured,Za a aunawa dogaro da karkashin sauro na gari.,source-estrra-outcomes,A,Implementing-partner outcome report; Bauchi North scope and independent audit follow-up required,Rahotar sakamako daga abokin aiki; iya jin cikin Bauchi Are da bita mai ba da kowane shawara suna buƙatar ci gaba
