source_id,publisher,source_type,title,url,publication_date,retrieved_date,document_type,source_grade,usage_note,content_hash
source-cibs,Radio Nigeria North East Zone,independent_project,UK-Funded CRIBS Project to Upgrade 24 Schools and Clinics in Five Bauchi LGAs,https://radionigerianortheast.gov.ng/?p=4427,2026-05-12,2026-09-24,web_page,B,Independent institutional report; selected beneficiaries and project scope require outcome follow-up,e84959c428edb8cf6da5bfe3154cfa9bf2b692940648dc0deadca57ae0e3c71c
source-alkaleri-lga,Alkaleri Local Government,official_lga_news,Alkaleri Residents Hail Bauchi Gov for Roads Schools Projects,https://alkaleri-lga.bauchistate.gov.ng/alkaleri-residents-hail-bauchi-gov-for-roads-schools-projects/,2025-10-02,2026-09-24,web_page,A,Official LGA report; completed 56km road and 25.8km upgrade evidence,71dbdf20fba14b33e80d814834cacc6e241e675ef68f3588c94940846c94934c
source-bauchi-ward-road,Tribune Online,independent_project,Bauchi Reps Member Aminu Garu Flags Off 2km Rural Road,https://tribuneonlineng.com/bauchi-reps-member-aminu-garu-flags-off-2km-rural-road/,2025-04-06,2026-09-24,web_page,B,Kangere Ward Bauchi LGA road launch; completion not yet verified,79a70720a44bdf61c55e2234742e4bd5dd6a0318b38e6a569e0ffb84ce286362
source-bogoro-road,The Sun Nigeria,independent_project,Bauchi Residents Excited as Governor Bala Mohammed Delivers Boi Tapshin Road Project,https://thesun.ng/bauchi-residents-excited-as-governor-bala-mohammed-delivers-boi-tapshin-road-project/,2025-09-12,2026-09-24,web_page,B,Completed 11km road with bridge and culverts; source reports resident and engineering confirmation,69eb855120ca2f1cb8ba187db86dad21def433e33a73dc8f2bf4c19b8c353d27
source-dambam-health,Tribune Online,independent_project,Bauchi Govt Reiterates Commitment to Quality Healthcare Delivery,https://tribuneonlineng.com/bauchi-govt-reiterates-commitment-to-quality-healthcare-delivery/,2025-09-07,2026-09-24,web_page,B,Dagauda PHC expanded from 30 to 49 beds with 24-hour solar power,f51b68753e3a99e6bc524c47e6c46caf9571d771100ee89f0f4845b5ef8cac17
source-dass-road,9News Nigeria,independent_project,Bauchi Governor to Build Township Roads at Dass,https://9newsng.com/bauchi-governor-to-build-township-roads-at-dass/,2024-09-14,2026-09-24,web_page,B,Dass township and Dur-Dado road construction announcement; completion not yet verified,24d1181dd5e22ad8b1bb302ee7812040a00b1b4749754a44f9927359731608e1
source-ganjuwa-education,Bauchi State Government,official_news,We Will Intensify Efforts to Foster Educational Development Bauchi Gov,https://www.bauchistate.gov.ng/well-intensify-efforts-to-foster-educational-development-bauchi-gov/,2023-12-28,2026-09-24,web_page,A,71 graduates and more than 1000 conversions reported at a Ganjuwa school graduation,aca9b3dc10a6617e2d5a955c1267d633f5afa9bc9dd46b4f4c67cfae095f8b2a
source-giade-mill,Foundation for Sustainable Smallholder Solutions,implementing_partner,The Mill That Brought Opportunity Home to Kurba,https://fsssolutions.org/fsss-impact/the-mill-that-brought-opportunity-home-to-kurba/,2026-07-10,2026-09-24,web_page,A,11/30kW rice mill raised reported capacity from 10 to up to 30 bags per day,42b351e1a7c5ad516169e9a0afe8ca199f3b2b8b110476eb82375e6af06b31ba
source-jamaare-flood,Federal Ministry of Information and National Orientation,official_federal_news,Jamaare Communities Should Take Over Ownership and Maintenance of Project,https://fmino.gov.ng/jamaare-communities-should-take-over-the-ownership-and-maintenance-of-project-fg/,2022-01-24,2026-09-24,web_page,A,Federal flood and erosion control project commissioned and handed over,01fe41774d3c1a28ba02f1c020ef787b21092184646efb805e86101857117de6
source-ningi-road,Albarka Radio,independent_project,Bauchi State Media Tour Ningi Gets Major Road Projects,https://albarkaradio.com/bauchi-state-media-tour-ningi-gets-major-road-projects-as-22km-dual-carriageway-4km-township-road-transform-local-communities/,2025-09-12,2026-09-24,web_page,B,4km Nasaru township road reported completed; 22km carriageway reported above 70 percent,f879027bcd38a4d5501b31d060c8e854f4f1f5200fda5ed7abd26ead1734aa26
source-torodo-water,Tribune Online,independent_project,WaterAid RUWASA Provides Boreholes to 30 Bauchi Communities,https://tribuneonlineng.com/wateraid-nigeria-ruwasa-provide-boreholes-to-30-bauchi-communities/,2024-12-17,2026-09-24,web_page,B,30 communities in Tafawa-Balewa received water facilities; beneficiary results require follow-up,0748bb3aa6421c9277e1ab023afddbcb1bc93b1893a924e2a325e6cfde97f695
source-warji-acresal,Tribune Online,independent_project,ACReSAL Provides Plant Nurseries Water Schemes in Three Bauchi LGAs,https://tribuneonlineng.com/acresal-provides-plant-nurseries-water-schemes-in-three-bauchi-lgas/,2025-07-26,2026-09-24,web_page,B,Warji nursery and integrated water scheme handover; completion and utilization need follow-up,7f0108e3f64d3860805257bd9592066bf67a921219bd8b1d5bba43dd789e4929
source-basg-education-scorecard,Bauchi State Government,official_news,Bauchi Govt Says 300 Schools Renovated 3000 Teachers Recruited in One Year,https://home.bauchistate.gov.ng/bauchi-govt-says-300-schools-renovated-3000-teachers-recruited-in-one-year/,2025-05-26,2026-09-24,web_page,A,Statewide delivery outputs include 300 schools and 3000 teachers; education quality outcomes require follow-up,cb08aebfc704388081c34a670e0fe8160aaad30b7ad747a8388f31e5ae286bec
source-misau-fmc,Federal Medical Centre Misau,official_facility,Federal Medical Centre Misau official history,https://www.fmcmisau.gov.ng/about,2026-02-24,2026-09-24,web_page,A,Official facility history records handover from Bauchi State and commencement of clinical activities,1f5914452952237271affaa20a8ac40d662f7bbdc459bc233cf78ff6d3151e0a
source-toro-sanitation,UNICEF Nigeria,implementing_partner,Open Defecation Free Movement in Nigeria is Saving Lives,https://www.unicef.org/nigeria/stories/open-defecation-free-movement-nigeria-saving-lives,2023-04-04,2026-09-24,web_page,A,Toro validated open-defecation-free in 2022 with sanitation byelaw and WASH actions,dcc78bd6b2158c39b4e6eb1bcc684cbbc3d47f91e27710d441a2ec8a18468371
source-zaki-boreholes,The Nation,independent_project,Female Pupils Enrolment Goes Up in Bauchi Schools,https://thenationonlineng.net/female-pupils-enrolment-goes-up-in-bauchi-schools/,2020-03-02,2026-09-24,web_page,B,68 boreholes reported in Zaki under the Girls Education Project; current functionality requires follow-up,e26ca731a5fd28823c10a183ffe465f6b773c6e8e8f9bd9f700b1d5ef5468ba2
source-estrra-outcomes,Foundation for Sustainable Smallholder Solutions,implementing_partner,Six Months Into ESTRRA Project How Foundation Investment Is Changing Lives in Rural Bauchi,https://fsssolutions.org/in-focus/six-months-into-estrra-project-how-foundation-investment-is-changing-lives-in-rural-bauchi,2026-06-11,2026-09-24,web_page,A,Bauchi North outcome report covering farmers services income processing and jobs,6d485cd05086b62ea67626b41561990c4e670f4308eaeaef71f4b890baf49bed
